,flight index,airline,move type,Fl No. Arrival,ata,Fl No. Departure,atd,long stay,night stay,connection,ac type,terminal
0,0,EK,Arr,EK554,18:11 (09/12),EK553,19:04 (09/12),True,True,INT,737,B
1,0,EK,Park,EK554,19:04 (09/12),EK553,05:09 (10/12),True,True,INT,737,B
2,0,EK,Dep,EK554,05:09 (10/12),EK553,06:01 (10/12),True,True,INT,737,B
3,1,KQ,Full,KQ228,06:57 (09/12),KQ227,09:25 (09/12),False,False,INT,E90,D
4,2,KQ,Full,KQ983,19:34 (09/12),KQ984,23:41 (09/12),False,False,INT,738,D
5,3,KQ,Arr,KQ385,11:29 (09/12),KQ386,12:25 (09/12),True,False,DOM,E90,A
6,3,KQ,Park,KQ385,12:25 (09/12),KQ386,20:11 (09/12),True,False,DOM,E90,A
7,3,KQ,Dep,KQ385,20:11 (09/12),KQ386,21:13 (09/12),True,False,DOM,E90,A
8,4,KQ,Full,KQ770,07:18 (09/12),KQ769,08:28 (09/12),False,False,DOM,E90,A
9,5,KQ,Full,KQ693,06:46 (09/12),KQ692,09:04 (09/12),False,False,DOM,E90,A
10,6,KQ,Full,KQ518,08:22 (09/12),KQ519,10:35 (09/12),False,False,INT,747,D
11,7,KQ,Full,KQ652,15:56 (09/12),KQ653,17:13 (09/12),False,False,INT,E90,D
12,8,ET,Full,ET757,06:54 (09/12),ET758,10:03 (09/12),False,False,INT,E90,B
13,9,KQ,Full,KQ844,20:27 (09/12),KQ845,21:35 (09/12),False,False,DOM,E90,A
14,10,KQ,Full,KQ681,07:16 (09/12),KQ682,08:38 (09/12),False,False,INT,CRJ,D
15,11,QR,Full,QR727,08:10 (09/12),QR726,11:17 (09/12),False,False,INT,788,C
16,12,CZ,Full,CZ758,18:39 (09/12),CZ757,19:48 (09/12),False,False,INT,E90,C
17,13,KQ,Full,KQ943,18:57 (09/12),KQ942,20:51 (09/12),False,False,INT,E90,D
18,14,MK,Arr,MK626,12:05 (09/12),MK627,13:12 (09/12),True,True,INT,E90,B
19,14,MK,Park,MK626,13:12 (09/12),MK627,06:33 (10/12),True,True,INT,E90,B
20,14,MK,Dep,MK626,06:33 (10/12),MK627,07:43 (10/12),True,True,INT,E90,B
21,15,ET,Full,ET159,09:34 (09/12),ET158,10:51 (09/12),False,False,INT,AT7,C
22,16,KQ,Full,KQ891,20:09 (09/12),KQ890,22:37 (09/12),False,False,DOM,737,A
23,17,KQ,Full,KQ745,18:49 (09/12),KQ744,21:17 (09/12),False,False,INT,E90,D
24,18,KQ,Full,KQ552,10:56 (09/12),KQ551,12:21 (09/12),False,False,DOM,E90,A
25,19,KQ,Full,KQ778,09:36 (09/12),KQ777,10:43 (09/12),False,False,INT,738,D
26,20,KQ,Arr,KQ245,22:20 (09/12),KQ246,23:38 (09/12),True,True,INT,E90,D
27,20,KQ,Park,KQ245,23:38 (09/12),KQ246,05:38 (10/12),True,True,INT,E90,D
28,20,KQ,Dep,KQ245,05:38 (10/12),KQ246,06:22 (10/12),True,True,INT,E90,D
29,21,KQ,Full,KQ336,11:48 (09/12),KQ335,13:29 (09/12),False,False,INT,E90,D
30,22,SA,Full,SA430,18:14 (09/12),SA431,19:23 (09/12),False,False,INT,E90,B
31,23,KQ,Full,KQ590,08:21 (09/12),KQ589,09:28 (09/12),False,False,INT,788,D
32,24,KQ,Full,KQ851,06:51 (09/12),KQ852,09:04 (09/12),False,False,INT,E90,D
